Date - MST,Hourly Profile1,Season1,Date (MST),AIL,Gas Price,Price,Spark Spread
1/1/2020 0:00,ON PEAK,SUMMER,9/10/2020 13:00,9478,2.15,36.68,20.555
1/1/2020 0:00,ON PEAK,SUMMER,9/11/2020 14:00,9478,2.15,186.39,170.265
1/1/2020 0:00,ON PEAK,SUMMER,9/11/2020 11:00,9482,2.15,39.54,23.415
1/1/2020 0:00,ON PEAK,SUMMER,5/10/2023 12:00,9488,2.15,915.06,898.935
1/1/2020 0:00,ON PEAK,SUMMER,9/11/2020 15:00,9493,2.15,167.63,151.505
1/1/2020 0:00,ON PEAK,SUMMER,9/18/2020 10:00,9496,2.15,34.67,18.545
1/1/2020 0:00,ON PEAK,SUMMER,9/18/2020 14:00,9496,2.15,37.23,21.105
1/1/2020 0:00,ON PEAK,SUMMER,5/10/2023 8:00,9508,2.15,187.43,171.305
1/1/2020 0:00,ON PEAK,SUMMER,9/18/2020 11:00,9523,2.15,38.13,22.005
1/1/2020 0:00,ON PEAK,SUMMER,9/18/2020 12:00,9539,2.15,38.98,22.855
1/1/2020 0:00,ON PEAK,SUMMER,5/10/2023 16:00,9539,2.15,473.56,457.435
1/1/2020 0:00,ON PEAK,SUMMER,9/11/2020 12:00,9544,2.15,39.73,23.605
1/1/2020 0:00,ON PEAK,SUMMER,9/18/2020 13:00,9545,2.15,38.85,22.725
1/1/2020 0:00,ON PEAK,SUMMER,9/10/2020 14:00,9549,2.15,36.73,20.605
1/1/2020 0:00,ON PEAK,SUMMER,9/11/2020 16:00,9552,2.15,60.51,44.385
1/1/2020 0:00,ON PEAK,SUMMER,9/11/2020 13:00,9563,2.15,39.8,23.675
1/1/2020 0:00,ON PEAK,SUMMER,5/10/2023 14:00,9575,2.15,467.54,451.415
1/1/2020 0:00,ON PEAK,SUMMER,5/10/2023 9:00,9579,2.15,146.16,130.035
1/1/2020 0:00,ON PEAK,SUMMER,5/10/2023 11:00,9584,2.15,568.2,552.075
1/1/2020 0:00,ON PEAK,SUMMER,5/10/2023 15:00,9615,2.15,640.76,624.635
